region	chr	midPos	Nsites
(5942,11505)(107863,123281)(100000,150000)	JASDQU010104083.1	125000	5565	0.248092
(11506,12509)(206491,213170)(200000,250000)	JASDQU010104083.1	225000	1005	0.024504
(12510,13779)(391231,392513)(350000,400000)	JASDQU010104083.1	375000	1271	0.115250
(13780,14179)(405449,405852)(400000,450000)	JASDQU010104083.1	425000	401	0.111101
(14180,15616)(500955,523437)(500000,550000)	JASDQU010104083.1	525000	1438	0.247523
(659,960)(158459,158764)(150000,200000)	JASDQU010104084.1	175000	303	0.078816
(380,1189)(325366,326249)(300000,350000)	JASDQU010104099.1	325000	811	0.590582
(1190,1853)(413165,435162)(400000,450000)	JASDQU010104099.1	425000	665	0.463399
(566,703)(371908,372181)(350000,400000)	JASDQU010104102.1	375000	139	0.492820
(704,1093)(435322,435812)(400000,450000)	JASDQU010104102.1	425000	391	0.082137
(1094,1474)(455611,469282)(450000,500000)	JASDQU010104102.1	475000	382	0.063251
(1475,2433)(505455,549954)(500000,550000)	JASDQU010104102.1	525000	960	0.204262
(45,386)(329926,330355)(300000,350000)	JASDQU010104105.1	325000	343	0.185306
(387,679)(350484,377454)(350000,400000)	JASDQU010104105.1	375000	294	0.110882
(417,1927)(77149,80367)(50000,100000)	JASDQU010104125.1	75000	1512	0.482370
(1928,2594)(167257,167958)(150000,200000)	JASDQU010104125.1	175000	668	0.863219
(312,729)(116070,116760)(100000,150000)	JASDQU010104141.1	125000	419	0.312809
(730,989)(224077,224355)(200000,250000)	JASDQU010104141.1	225000	261	0.046097
(1031,1425)(409374,409845)(400000,450000)	JASDQU010104143.1	425000	396	0.084293
(1426,2349)(451546,481193)(450000,500000)	JASDQU010104143.1	475000	925	0.568567
(2350,3025)(508637,527160)(500000,550000)	JASDQU010104143.1	525000	677	0.007636
(3026,3214)(607615,607812)(600000,650000)	JASDQU010104143.1	625000	190	0.037002
(682,1726)(94126,96105)(50000,100000)	JASDQU010104155.1	75000	1046	0.364018
(1727,2574)(205240,206317)(200000,250000)	JASDQU010104155.1	225000	849	0.254928
(111,1948)(107739,111346)(100000,150000)	JASDQU010104158.1	125000	1839	0.403701
(2053,2119)(350000,350104)(350000,400000)	JASDQU010104172.1	375000	68	0.036050
(18,253)(119977,120258)(100000,150000)	JASDQU010104187.1	125000	237	0.139881
(356,811)(342902,343497)(300000,350000)	JASDQU010104193.1	325000	457	0.015490
(139,2426)(87599,99441)(50000,100000)	JASDQU010104213.1	75000	2289	0.690006
(352,2748)(62619,65762)(50000,100000)	JASDQU010104215.1	75000	2398	0.536154
(132,704)(298760,299362)(250000,300000)	JASDQU010104220.1	275000	574	0.121388
(1174,1378)(109272,109481)(100000,150000)	JASDQU010104225.1	125000	206	0.024304
(290,363)(306719,306802)(300000,350000)	JASDQU010104229.1	325000	75	0.275105
(2323,2764)(287096,287545)(250000,300000)	JASDQU010104242.1	275000	443	0.110981
(588,1029)(50287,50781)(50000,100000)	JASDQU010104250.1	75000	443	0.532927
(4100,5024)(75214,81551)(50000,100000)	JASDQU010104256.1	75000	926	0.357120
(430,2369)(112959,114905)(100000,150000)	JASDQU010104258.1	125000	1941	0.447563
(216,699)(316331,316828)(300000,350000)	JASDQU010104270.1	325000	485	0.341086
(3328,5231)(153362,179607)(150000,200000)	JASDQU010104279.1	175000	1905	0.443647
(3310,3474)(61361,61584)(50000,100000)	JASDQU010104321.1	75000	166	0.013274
(3475,4044)(174825,175415)(150000,200000)	JASDQU010104321.1	175000	571	0.590881
(4045,5845)(497593,499999)(450000,500000)	JASDQU010104321.1	475000	1802	0.596160
(5846,6497)(500000,500677)(500000,550000)	JASDQU010104321.1	525000	653	0.584629
(83,234)(140572,140727)(100000,150000)	JASDQU010104331.1	125000	153	-0.008752
(35,215)(188226,193028)(150000,200000)	JASDQU010104337.1	175000	182	0.341375
(708,1262)(243925,244486)(200000,250000)	JASDQU010104367.1	225000	556	0.487667
(1263,1423)(328874,340838)(300000,350000)	JASDQU010104367.1	325000	162	0.035803
(1424,1749)(358503,358872)(350000,400000)	JASDQU010104367.1	375000	327	0.039374
(283,540)(365941,366240)(350000,400000)	JASDQU010104368.1	375000	259	0.894622
(846,1025)(129647,129836)(100000,150000)	JASDQU010104370.1	125000	181	0.087724
(454,822)(173910,174299)(150000,200000)	JASDQU010104371.1	175000	370	0.124211
(2268,2486)(287074,287292)(250000,300000)	JASDQU010104376.1	275000	220	0.012115
(136,422)(225948,226278)(200000,250000)	JASDQU010104390.1	225000	288	0.040663
(423,875)(292642,293307)(250000,300000)	JASDQU010104390.1	275000	454	0.045659
(1066,1744)(262345,263027)(250000,300000)	JASDQU010104402.1	275000	680	0.271671
(1745,1842)(301464,301561)(300000,350000)	JASDQU010104402.1	325000	99	0.101880
(231,2720)(56071,59684)(50000,100000)	JASDQU010104403.1	75000	2491	0.344373
(24,1054)(100412,101460)(100000,150000)	JASDQU010104411.1	125000	1032	0.372304
(1206,1212)(342424,342431)(300000,350000)	JASDQU010104432.1	325000	8	0.046992
(1213,2035)(351458,352288)(350000,400000)	JASDQU010104432.1	375000	824	0.056910
(2036,3802)(503985,509479)(500000,550000)	JASDQU010104432.1	525000	1768	0.111295
(171,550)(51113,52372)(50000,100000)	JASDQU010104433.1	75000	381	0.549275
(992,1042)(163949,164026)(150000,200000)	JASDQU010104436.1	175000	52	0.063136
(52,615)(113018,113600)(100000,150000)	JASDQU010104450.1	125000	565	0.106362
(694,1516)(135653,136515)(100000,150000)	JASDQU010104453.1	125000	824	0.150649
(98,1039)(82725,86705)(50000,100000)	JASDQU010104464.1	75000	943	0.252755
(708,1232)(217007,217702)(200000,250000)	JASDQU010104468.1	225000	526	0.014288
(39,482)(273398,273936)(250000,300000)	JASDQU010104478.1	275000	445	0.091558
(640,755)(103679,103794)(100000,150000)	JASDQU010104484.1	125000	117	0.038606
(351,691)(269501,269970)(250000,300000)	JASDQU010104485.1	275000	342	0.169445
(1510,1684)(238447,246721)(200000,250000)	JASDQU010104489.1	225000	176	0.012956
(1685,1700)(289364,289470)(250000,300000)	JASDQU010104489.1	275000	17	0.041986
(1701,1709)(338050,338062)(300000,350000)	JASDQU010104489.1	325000	10	0.053047
(168,1175)(132944,136294)(100000,150000)	JASDQU010104500.1	125000	1009	0.296540
(2467,2651)(202873,203131)(200000,250000)	JASDQU010104512.1	225000	186	0.121954
(135,267)(423829,423966)(400000,450000)	JASDQU010104517.1	425000	134	0.031420
(268,276)(468089,468137)(450000,500000)	JASDQU010104517.1	475000	10	0.059725
(220,1320)(303522,304725)(300000,350000)	JASDQU010104519.1	325000	1102	0.515689
(1170,2292)(54324,92358)(50000,100000)	JASDQU010104530.1	75000	1124	0.186716
(999,1202)(72583,72870)(50000,100000)	JASDQU010104539.1	75000	205	0.263027
(1285,6257)(78786,89123)(50000,100000)	JASDQU010104546.1	75000	4974	0.294529
(798,1042)(70495,70909)(50000,100000)	JASDQU010104557.1	75000	246	0.014683
(58,2163)(445459,449999)(400000,450000)	JASDQU010104558.1	425000	2107	0.025334
(233,371)(95423,95635)(50000,100000)	JASDQU010104560.1	75000	140	0.066295
(372,567)(199787,199986)(150000,200000)	JASDQU010104560.1	175000	197	0.153104
(568,1673)(201049,227195)(200000,250000)	JASDQU010104560.1	225000	1107	0.184808
(701,1361)(205627,230815)(200000,250000)	JASDQU010104567.1	225000	662	0.146248
(94,351)(178925,179307)(150000,200000)	JASDQU010104571.1	175000	259	0.056668
(352,611)(269665,285376)(250000,300000)	JASDQU010104571.1	275000	261	0.130582
(279,836)(445389,445974)(400000,450000)	JASDQU010104572.1	425000	559	0.036889
(579,1406)(247176,248013)(200000,250000)	JASDQU010104578.1	225000	829	0.712277
(95,2379)(242948,246208)(200000,250000)	JASDQU010104604.1	225000	2286	0.590397
(2380,2857)(275916,276497)(250000,300000)	JASDQU010104604.1	275000	479	0.111632
(2858,3311)(300556,308654)(300000,350000)	JASDQU010104604.1	325000	455	0.635083
(3312,3456)(392361,392511)(350000,400000)	JASDQU010104604.1	375000	146	0.027045
(293,363)(161009,161088)(150000,200000)	JASDQU010104607.1	175000	72	0.100319
(364,2235)(309476,347576)(300000,350000)	JASDQU010104607.1	325000	1873	0.273237
(2236,8025)(351650,393356)(350000,400000)	JASDQU010104607.1	375000	5791	0.347586
(8026,9011)(403438,414263)(400000,450000)	JASDQU010104607.1	425000	987	0.018684
(699,1332)(360550,361189)(350000,400000)	JASDQU010104611.1	375000	635	0.457108
(1333,2442)(401375,445637)(400000,450000)	JASDQU010104611.1	425000	1111	0.160402
(65,937)(132437,135644)(100000,150000)	JASDQU010104621.1	125000	874	0.250293
(15,157)(337599,337749)(300000,350000)	JASDQU010104622.1	325000	144	0.082268
(158,740)(376166,376783)(350000,400000)	JASDQU010104622.1	375000	584	0.332033
(54,987)(148364,149479)(100000,150000)	JASDQU010104627.1	125000	935	0.232754
(123,744)(410040,410675)(400000,450000)	JASDQU010104637.1	425000	623	0.150987
(745,1157)(627844,641413)(600000,650000)	JASDQU010104637.1	625000	414	0.023797
(1158,1190)(690434,690592)(650000,700000)	JASDQU010104637.1	675000	34	0.050374
(933,1121)(63478,63666)(50000,100000)	JASDQU010104638.1	75000	190	0.052585
(1122,1297)(117722,124008)(100000,150000)	JASDQU010104638.1	125000	177	0.045566
(3919,4108)(192492,192694)(150000,200000)	JASDQU010104641.1	175000	191	0.339627
(18,452)(138845,139344)(100000,150000)	JASDQU010104642.1	125000	436	0.308337
(453,729)(226318,248717)(200000,250000)	JASDQU010104642.1	225000	278	0.237098
(730,1499)(257647,291872)(250000,300000)	JASDQU010104642.1	275000	771	0.280746
(1500,2160)(310703,314972)(300000,350000)	JASDQU010104642.1	325000	662	0.314741
(454,1135)(217447,218153)(200000,250000)	JASDQU010104646.1	225000	683	-0.011932
(197,1314)(382460,384402)(350000,400000)	JASDQU010104647.1	375000	1119	0.360173
(280,1133)(68969,69828)(50000,100000)	JASDQU010104653.1	75000	855	0.627795
(1134,1356)(152248,152557)(150000,200000)	JASDQU010104653.1	175000	224	0.649144
(177,290)(93226,93558)(50000,100000)	JASDQU010104656.1	75000	115	0.167801
(51,189)(163321,163459)(150000,200000)	JASDQU010104663.1	175000	140	0.328922
(2397,2803)(224568,230373)(200000,250000)	JASDQU010104666.1	225000	408	0.033179
(1499,1867)(191877,192245)(150000,200000)	JASDQU010104675.1	175000	370	0.028753
(217,470)(350305,350817)(350000,400000)	JASDQU010104677.1	375000	255	0.042918
(471,651)(438277,438457)(400000,450000)	JASDQU010104677.1	425000	182	0.219974
(1711,3393)(181006,198124)(150000,200000)	JASDQU010104680.1	175000	1684	0.417806
(3394,3994)(205960,206571)(200000,250000)	JASDQU010104680.1	225000	602	0.038431
(442,1237)(102941,111869)(100000,150000)	JASDQU010104684.1	125000	797	0.030959
(1238,1383)(230012,230271)(200000,250000)	JASDQU010104684.1	225000	147	0.223025
(783,894)(100308,100437)(100000,150000)	JASDQU010104685.1	125000	113	0.147059
(895,1625)(183483,184255)(150000,200000)	JASDQU010104685.1	175000	732	0.690802
(287,1213)(163754,168548)(150000,200000)	JASDQU010104693.1	175000	928	0.611899
(30,31)(221241,221242)(200000,250000)	JASDQU010104700.1	225000	3	0.050412
(1222,1306)(275359,275486)(250000,300000)	JASDQU010104704.1	275000	86	0.002898
(835,2499)(56672,68696)(50000,100000)	JASDQU010104719.1	75000	1666	0.738567
(749,849)(204193,223687)(200000,250000)	JASDQU010104725.1	225000	102	0.055164
(1698,4445)(50001,54778)(50000,100000)	JASDQU010104739.1	75000	2749	0.262304
(4446,4577)(175925,176077)(150000,200000)	JASDQU010104739.1	175000	133	0.046219
(376,992)(52445,81022)(50000,100000)	JASDQU010104744.1	75000	618	0.472559
(317,337)(249968,249995)(200000,250000)	JASDQU010104754.1	225000	22	0.084758
(202,6507)(83584,95069)(50000,100000)	JASDQU010104758.1	75000	6307	0.293073
(97,1135)(173320,174391)(150000,200000)	JASDQU010104766.1	175000	1040	0.202842
(417,1098)(50416,82852)(50000,100000)	JASDQU010104780.1	75000	683	0.108858
(288,372)(104796,104908)(100000,150000)	JASDQU010104783.1	125000	86	0.059971
(42,2565)(354456,364941)(350000,400000)	JASDQU010104791.1	375000	2525	0.869998
(311,430)(53669,53801)(50000,100000)	JASDQU010104814.1	75000	121	0.332666
(1465,2210)(69970,70722)(50000,100000)	JASDQU010104824.1	75000	747	0.175562
(28,355)(152251,152755)(150000,200000)	JASDQU010104847.1	175000	329	0.105390
(122,897)(150000,151228)(150000,200000)	JASDQU010104886.1	175000	777	0.180042
(192,420)(152221,165116)(150000,200000)	JASDQU010104901.1	175000	230	0.073352
(421,1220)(395673,396546)(350000,400000)	JASDQU010104901.1	375000	801	0.727400
(80,1920)(188057,189900)(150000,200000)	JASDQU010104910.1	175000	1842	0.056853
(34,1422)(150000,153415)(150000,200000)	JASDQU010104940.1	175000	1390	0.740405
(44,497)(283355,291782)(250000,300000)	JASDQU010104954.1	275000	455	0.032887
(1146,1335)(86125,86736)(50000,100000)	JASDQU010104960.1	75000	191	0.102234
(227,246)(85833,85943)(50000,100000)	JASDQU010104988.1	75000	21	0.791704
(240,460)(335617,335985)(300000,350000)	JASDQU010105001.1	325000	222	0.249006
(2253,2390)(78830,78975)(50000,100000)	JASDQU010105031.1	75000	139	0.148294
(727,897)(51623,52036)(50000,100000)	JASDQU010105049.1	75000	172	0.122300
(8506,8680)(167112,190527)(150000,200000)	JASDQU010105086.1	175000	176	0.033857
(118,230)(100000,100117)(100000,150000)	JASDQU010105093.1	125000	114	0.494289
(3526,7575)(74403,79561)(50000,100000)	JASDQU010105121.1	75000	4051	0.165266
(198,974)(114356,115287)(100000,150000)	JASDQU010105168.1	125000	778	0.055908
(608,3266)(223491,227491)(200000,250000)	JASDQU010105177.1	225000	2660	0.014043
(256,700)(106619,107105)(100000,150000)	JASDQU010105182.1	125000	446	0.024773
(372,1622)(234683,235990)(200000,250000)	JASDQU010105226.1	225000	1252	0.274918
(436,2266)(124368,133603)(100000,150000)	JASDQU010105227.1	125000	1832	0.052132
(2257,2911)(120423,121388)(100000,150000)	JASDQU010105275.1	125000	656	0.471730
(2912,3617)(167978,168723)(150000,200000)	JASDQU010105275.1	175000	707	0.066825
(838,1242)(471197,471679)(450000,500000)	JASDQU010105291.1	475000	406	0.081778
(45,225)(128199,129111)(100000,150000)	JASDQU010105349.1	125000	182	0.033200
(64,991)(252033,253003)(250000,300000)	JASDQU010105352.1	275000	929	0.469670
(992,3800)(307291,334653)(300000,350000)	JASDQU010105352.1	325000	2810	0.478573
(1072,1410)(55651,56135)(50000,100000)	JASDQU010105376.1	75000	340	0.067845
(226,315)(174420,174521)(150000,200000)	JASDQU010105378.1	175000	91	0.469124
(380,773)(123118,138340)(100000,150000)	JASDQU010105403.1	125000	395	0.307287
(1044,1055)(122648,122679)(100000,150000)	JASDQU010105420.1	125000	13	0.044632
(3730,8371)(55220,80676)(50000,100000)	JASDQU010105446.1	75000	4643	0.113640
(907,1040)(54936,55089)(50000,100000)	JASDQU010105466.1	75000	135	0.187173
(724,1134)(54701,77584)(50000,100000)	JASDQU010105481.1	75000	412	0.166980
(1009,1535)(124066,124617)(100000,150000)	JASDQU010105543.1	125000	528	0.540674
(163,2339)(151195,155304)(150000,200000)	JASDQU010105574.1	175000	2178	0.629097
(69,1943)(151292,153197)(150000,200000)	JASDQU010105586.1	175000	1876	0.381738
(98,987)(95214,96114)(50000,100000)	JASDQU010105611.1	75000	891	0.137886
(619,640)(92647,92678)(50000,100000)	JASDQU010105621.1	75000	23	0.061807
(12,210)(100318,100564)(100000,150000)	JASDQU010105639.1	125000	200	0.485568
(662,2955)(179480,181789)(150000,200000)	JASDQU010105649.1	175000	2295	0.792417
(571,2102)(67982,70201)(50000,100000)	JASDQU010105660.1	75000	1533	0.252433
(331,485)(201879,202201)(200000,250000)	JASDQU010105693.1	225000	156	0.040755
(731,879)(255017,255169)(250000,300000)	JASDQU010105718.1	275000	150	0.667892
(358,377)(117096,117115)(100000,150000)	JASDQU010105722.1	125000	21	-0.001815
(355,1198)(68164,69018)(50000,100000)	JASDQU010105754.1	75000	845	0.677259
(1199,1762)(259159,288718)(250000,300000)	JASDQU010105754.1	275000	565	0.036589
(1763,2773)(324644,337493)(300000,350000)	JASDQU010105754.1	325000	1012	0.032197
(4,1000)(100002,129760)(100000,150000)	JASDQU010105763.1	125000	998	0.046714
(1298,1863)(152950,157987)(150000,200000)	JASDQU010105776.1	175000	567	0.053901
(3203,3471)(78438,78710)(50000,100000)	JASDQU010105796.1	75000	270	0.562256
(741,1611)(73722,96604)(50000,100000)	JASDQU010105803.1	75000	872	0.081609
(885,2773)(132062,134009)(100000,150000)	JASDQU010105827.1	125000	1890	0.422914
(18,542)(234237,234889)(200000,250000)	JASDQU010105843.1	225000	526	0.021168
(551,795)(156834,157248)(150000,200000)	JASDQU010105844.1	175000	246	0.046915
(591,3545)(175745,179712)(150000,200000)	JASDQU010105857.1	175000	2956	0.291868
(574,1008)(60220,60658)(50000,100000)	JASDQU010105888.1	75000	436	0.004065
(851,2051)(300226,301468)(300000,350000)	JASDQU010105909.1	325000	1202	0.223536
(943,1762)(71772,72604)(50000,100000)	JASDQU010105997.1	75000	821	0.293896
(1763,1940)(113071,113255)(100000,150000)	JASDQU010105997.1	125000	179	0.011362
(203,336)(193373,193770)(150000,200000)	JASDQU010106001.1	175000	135	0.013264
(337,581)(247324,247583)(200000,250000)	JASDQU010106001.1	225000	246	0.004243
(4,191)(126724,127441)(100000,150000)	JASDQU010106006.1	125000	189	0.071528
(192,776)(232499,233095)(200000,250000)	JASDQU010106006.1	225000	586	0.108131
(777,1151)(298499,299999)(250000,300000)	JASDQU010106006.1	275000	376	0.029918
(951,1266)(82527,82863)(50000,100000)	JASDQU010106011.1	75000	317	0.519174
(252,586)(134012,134355)(100000,150000)	JASDQU010106054.1	125000	336	0.077245
(2948,3716)(67731,68885)(50000,100000)	JASDQU010106083.1	75000	770	0.087864
(1368,1814)(77575,78025)(50000,100000)	JASDQU010106093.1	75000	448	0.736692
(584,1582)(60089,64759)(50000,100000)	JASDQU010106116.1	75000	1000	0.397326
(398,552)(101075,101229)(100000,150000)	JASDQU010106170.1	125000	156	0.030000
(366,372)(165891,165899)(150000,200000)	JASDQU010106203.1	175000	8	0.059955
(614,788)(53992,54338)(50000,100000)	JASDQU010106214.1	75000	176	0.035125
(1390,2873)(105667,135024)(100000,150000)	JASDQU010106217.1	125000	1485	0.419367
(155,2862)(59314,83594)(50000,100000)	JASDQU010106237.1	75000	2709	0.620878
(1683,2402)(137281,138043)(100000,150000)	JASDQU010106277.1	125000	721	0.185111
(723,815)(121599,121718)(100000,150000)	JASDQU010106348.1	125000	94	0.003112
(355,1997)(91269,92949)(50000,100000)	JASDQU010106355.1	75000	1644	0.273946
(1163,3678)(91933,98886)(50000,100000)	JASDQU010106386.1	75000	2517	0.511594
(304,852)(133377,133940)(100000,150000)	JASDQU010106459.1	125000	550	0.057828
(312,585)(78737,79242)(50000,100000)	JASDQU010106466.1	75000	275	0.026861
(586,1183)(120359,121315)(100000,150000)	JASDQU010106466.1	125000	599	0.614652
(1184,1393)(185967,186190)(150000,200000)	JASDQU010106466.1	175000	211	0.326790
(222,335)(107525,107639)(100000,150000)	JASDQU010106475.1	125000	115	0.055778
(1094,1927)(132643,133548)(100000,150000)	JASDQU010106495.1	125000	835	0.111928
(1203,6161)(50000,56345)(50000,100000)	JASDQU010106513.1	75000	4960	0.611531
(1421,1992)(54477,55051)(50000,100000)	JASDQU010106522.1	75000	573	0.701599
(1993,2077)(121275,121364)(100000,150000)	JASDQU010106522.1	125000	86	0.028343
(723,1429)(70380,71250)(50000,100000)	JASDQU010106523.1	75000	708	0.092002
(53,98)(69394,69523)(50000,100000)	JASDQU010106536.1	75000	47	0.683779
(913,1780)(221601,222496)(200000,250000)	JASDQU010106547.1	225000	869	0.747296
(1226,2175)(153805,154764)(150000,200000)	JASDQU010106558.1	175000	951	0.426520
(1937,2050)(117239,123221)(100000,150000)	JASDQU010106565.1	125000	115	0.025650
(139,3816)(55331,60217)(50000,100000)	JASDQU010106570.1	75000	3679	0.518432
(127,435)(50892,51219)(50000,100000)	JASDQU010106571.1	75000	310	0.405278
(3031,3127)(55012,55127)(50000,100000)	JASDQU010106587.1	75000	98	0.014393
(229,285)(101647,101733)(100000,150000)	JASDQU010106652.1	125000	58	0.040038
(1906,2781)(337731,338610)(300000,350000)	JASDQU010106661.1	325000	877	0.114018
(3581,3813)(112519,112791)(100000,150000)	JASDQU010106678.1	125000	234	0.417379
(1327,1872)(50000,50550)(50000,100000)	JASDQU010106681.1	75000	547	0.656902
(78,188)(275610,275730)(250000,300000)	JASDQU010106704.1	275000	112	0.556668
(96,132)(161378,161476)(150000,200000)	JASDQU010106780.1	175000	38	0.080416
(518,630)(100000,100112)(100000,150000)	JASDQU010106784.1	125000	114	0.313510
(1450,1836)(66916,68506)(50000,100000)	JASDQU010106828.1	75000	388	0.177357
(1261,2671)(113720,117601)(100000,150000)	JASDQU010106878.1	125000	1412	0.035248
(144,1041)(135005,136216)(100000,150000)	JASDQU010106887.1	125000	899	0.678896
(446,1085)(68347,69635)(50000,100000)	JASDQU010106936.1	75000	641	0.431946
(1086,1993)(270616,271532)(250000,300000)	JASDQU010106936.1	275000	909	0.085291
(283,1080)(109322,140420)(100000,150000)	JASDQU010106981.1	125000	799	0.457109
(1233,2343)(64929,75701)(50000,100000)	JASDQU010106993.1	75000	1112	0.657371
(39,298)(95738,95997)(50000,100000)	JASDQU010107010.1	75000	261	0.026903
(972,1767)(57758,58573)(50000,100000)	JASDQU010107036.1	75000	797	0.236034
(325,544)(60747,61062)(50000,100000)	JASDQU010107139.1	75000	221	0.079511
(316,767)(205357,205850)(200000,250000)	JASDQU010107148.1	225000	453	0.252520
(741,4081)(50000,92688)(50000,100000)	JASDQU010107151.1	75000	3342	0.747382
(538,726)(161143,161430)(150000,200000)	JASDQU010107158.1	175000	190	0.562781
(555,1365)(250025,268125)(250000,300000)	JASDQU010107163.1	275000	812	0.231348
(752,1039)(97775,98491)(50000,100000)	JASDQU010107187.1	75000	289	0.280024
(378,892)(79897,80417)(50000,100000)	JASDQU010107188.1	75000	516	0.040927
(806,1409)(89997,90661)(50000,100000)	JASDQU010107242.1	75000	605	0.365367
(514,981)(61323,61809)(50000,100000)	JASDQU010107255.1	75000	469	0.444172
(308,1733)(188584,197741)(150000,200000)	JASDQU010107320.1	175000	1427	0.230258
(2548,2636)(92898,92987)(50000,100000)	JASDQU010107329.1	75000	90	0.077088
(518,661)(123387,123542)(100000,150000)	JASDQU010107333.1	125000	145	0.066069
(6,179)(84342,84522)(50000,100000)	JASDQU010107340.1	75000	175	0.042475
(722,753)(271285,271552)(250000,300000)	JASDQU010107355.1	275000	33	0.069173
(754,1280)(363192,387463)(350000,400000)	JASDQU010107355.1	375000	528	0.457727
(1838,4461)(119176,127935)(100000,150000)	JASDQU010107361.1	125000	2625	0.609523
(289,579)(125914,126220)(100000,150000)	JASDQU010107392.1	125000	292	0.026620
(386,878)(100000,100501)(100000,150000)	JASDQU010107461.1	125000	494	0.298540
(1919,2067)(62726,63043)(50000,100000)	JASDQU010107484.1	75000	150	0.207764
(331,2686)(60290,83982)(50000,100000)	JASDQU010107496.1	75000	2357	0.198478
(2053,2425)(52012,99999)(50000,100000)	JASDQU010107497.1	75000	374	-0.014479
(2097,3064)(63438,64405)(50000,100000)	JASDQU010107503.1	75000	969	0.620584
(3065,3209)(138710,138870)(100000,150000)	JASDQU010107503.1	125000	146	0.030193
(119,389)(187466,187859)(150000,200000)	JASDQU010107510.1	175000	272	0.007886
(239,447)(125305,125513)(100000,150000)	JASDQU010107513.1	125000	210	0.032131
(1349,1902)(155797,156353)(150000,200000)	JASDQU010107541.1	175000	555	0.104235
(798,1694)(58943,69935)(50000,100000)	JASDQU010107549.1	75000	898	0.155422
(1695,2647)(240245,241207)(200000,250000)	JASDQU010107549.1	225000	954	0.582489
(4085,4384)(203570,203877)(200000,250000)	JASDQU010107579.1	225000	301	0.109404
(409,915)(138024,139915)(100000,150000)	JASDQU010107603.1	125000	508	0.074728
(916,1277)(156199,156573)(150000,200000)	JASDQU010107603.1	175000	363	0.006034
(1278,1645)(227563,227942)(200000,250000)	JASDQU010107603.1	225000	369	0.009391
(401,504)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.141263
(2163,2184)(122892,123003)(100000,150000)	JASDQU010107633.1	125000	23	0.040779
(34,216)(111778,112070)(100000,150000)	JASDQU010107665.1	125000	184	0.360535
(627,9908)(126282,145543)(100000,150000)	JASDQU010107682.1	125000	9283	0.787969
(2867,2951)(151754,194830)(150000,200000)	JASDQU010107804.1	175000	86	0.106423
(2952,3445)(200974,247955)(200000,250000)	JASDQU010107804.1	225000	495	0.046272
(367,470)(264995,265125)(250000,300000)	JASDQU010107820.1	275000	105	0.060234
(1598,2175)(225433,227059)(200000,250000)	JASDQU010107834.1	225000	579	0.710364
(353,1367)(106877,107920)(100000,150000)	JASDQU010107839.1	125000	1016	0.250941
(439,1118)(64843,66035)(50000,100000)	JASDQU010107883.1	75000	681	0.004574
(313,345)(92698,92780)(50000,100000)	JASDQU010107884.1	75000	34	0.914538
(569,1282)(67353,68085)(50000,100000)	JASDQU010107903.1	75000	715	0.286760
(1604,2572)(66308,69538)(50000,100000)	JASDQU010107926.1	75000	970	0.769780
(1115,1330)(169118,169389)(150000,200000)	JASDQU010108008.1	175000	217	0.112824
(211,545)(52684,56256)(50000,100000)	JASDQU010108038.1	75000	336	0.019910
(2819,3062)(107428,107741)(100000,150000)	JASDQU010108071.1	125000	245	0.339853
(1737,2540)(113159,125350)(100000,150000)	JASDQU010108077.1	125000	805	0.382080
(169,811)(200043,201055)(200000,250000)	JASDQU010108087.1	225000	644	0.596756
(357,746)(93859,94293)(50000,100000)	JASDQU010108112.1	75000	391	0.030665
(540,628)(153391,153489)(150000,200000)	JASDQU010108127.1	175000	90	0.034899
(216,1778)(63040,96476)(50000,100000)	JASDQU010108138.1	75000	1564	0.195923
(453,1886)(81501,84107)(50000,100000)	JASDQU010108151.1	75000	1435	0.240602
(4173,4863)(83722,84416)(50000,100000)	JASDQU010108156.1	75000	692	0.653617
(1357,2263)(113660,114585)(100000,150000)	JASDQU010108173.1	125000	908	0.333989
(68,115)(88241,88516)(50000,100000)	JASDQU010108195.1	75000	49	0.039907
(632,689)(77105,77178)(50000,100000)	JASDQU010108213.1	75000	59	0.028548
(1442,1652)(114045,114422)(100000,150000)	JASDQU010108224.1	125000	212	0.088179
(1653,2003)(165809,166258)(150000,200000)	JASDQU010108224.1	175000	352	0.027857
(1070,1882)(285134,285967)(250000,300000)	JASDQU010108277.1	275000	814	0.624634
(468,1131)(101067,101757)(100000,150000)	JASDQU010108286.1	125000	665	-0.006919
(118,296)(56506,56685)(50000,100000)	JASDQU010108287.1	75000	180	0.318638
(297,489)(158300,158495)(150000,200000)	JASDQU010108287.1	175000	194	0.945716
(382,722)(127942,129830)(100000,150000)	JASDQU010108312.1	125000	342	0.064559
(534,1066)(132013,132600)(100000,150000)	JASDQU010108330.1	125000	534	0.513259
(13,252)(123329,123646)(100000,150000)	JASDQU010108365.1	125000	241	0.593127
(558,1573)(100290,149999)(100000,150000)	JASDQU010108386.1	125000	1017	0.091880
(141,373)(134462,134713)(100000,150000)	JASDQU010108391.1	125000	234	0.177293
(3,308)(335969,336419)(300000,350000)	JASDQU010108447.1	325000	307	0.031301
(643,791)(315178,315327)(300000,350000)	JASDQU010108455.1	325000	150	0.139802
(115,438)(59245,59596)(50000,100000)	JASDQU010108491.1	75000	325	0.019257
(439,1072)(343425,344074)(300000,350000)	JASDQU010108491.1	325000	635	0.096855
